DISPLAY NAME                                             AUTHOR                GIT REPOSITORY                        PLUGIN KEY
------------------------------------------------------------------------------------------------------------------------------------------------------
Buienradar.nl (Weather lookup)                      ffes                        domoticz-buienradar                   Buienradar
ebusd bridge                                        guillaumezin                DomoticzEbusd                         ebusd
Pi-hole summary                                     Xorfor                      Domoticz-Pi-hole-Plugin               xfr_pihole
Wan IP Checker                                      ycahome                     WAN-IP-CHECKER                        WAN-IP-CHECKER
SYSFS-Switches                                      flatsiedatsie               GPIO-SYSFS-Switches                   SYSFS-Switches
Yamaha AV Receiver                                  thomas-villagers            domoticz-yamaha                       YamahaPlug
Onkyo AV Receiver                                   jorgh6                      domoticz-onkyo-plugin                 Onkyo
Battery monitoring for Z-Wave nodes                 999LV                       BatteryLevel                          BatteryLevel
Homewizard                                          rvdvoorde                   domoticz-homewizard                   Homewizard
PiMonitor                                           Xorfor                      Domoticz-PiMonitor-Plugin             xfr-pimonitor
Xiaomi Mi Robot Vacuum                              mrin                        domoticz-mirobot-plugin               xiaomi-mi-robot-vacuum
MQTT discovery                                      emontnemery                 domoticz_mqtt_discovery               MQTTDiscovery
OpenAQ                                              Xorfor                      Domoticz-OpenAQ-Plugin                xfr_openaq
